Code,Title,Is Replaced By,Removed In
PM_40_20_07,Air conditioning performance requirements,PM_35_70_05 Air conditioning performance requirement,2019-04
PM_40_20_09,Airtightness performance requirements,PM_35_70_03 Airtightness performance requirements,2019-04
PM_40_20_15,Condensation control performance requirements,PM_35_10_15 Condensation control performance requirements,2019-04
PM_40_20_20,Daylight and shading performance requirements,PM_35_70_20 Daylight and shading performance requirements,2019-04
PM_40_20_25,Durability performance requirements,PM_35_10_25 Durability performance requirements,2019-04
PM_40_20_28,Fire resistance performance requirements,PM_35_30_28 Fire resistance performance requirements,2019-04
PM_40_20_30,Fire safety performance requirements,PM_35_30_30 Fire safety performance requirements,2019-04
PM_40_20_32,Functional properties performance requirements,PM_35_10_32 Functional properties performance requirements,2019-04
PM_40_20_36,Heating performance requirements,PM_35_70_36 Heating performance requirements,2019-04
PM_40_20_46,Lighting performance requirements,PM_35_70_46 Lighting performance requirements,2019-04
PM_40_20_50,Mechanical and electrical loading performance requirements,PM_35_20_62 Permanent loads performance requirements,2019-04
PM_40_20_58,Operational properties performance requirements,PM_35_10 Quality and operational properties performance requirements,2019-04
PM_40_20_62,Permanent imposed loading performance requirements,PM_35_20_42 Imposed loads performance requirements,2019-04
PM_40_20_69,Quality performance requirements,PM_35_10_22 Design quality performance requirements,2019-04
PM_40_20_72,Resistance to ground contaminants performance requirements,PM_35_40_72 Resistance to ground contaminants requirements,2019-04
PM_40_20_76,Snow loading performance requirements,PM_35_20_76 Snow and ice load performance requirements,2019-04
PM_40_20_80,Structural design performance requirements,PM_35_20_80 Structural design performance requirements,2019-04
PM_40_20_84,Sustainability performance requirements,PM_35_40_84 Sustainability performance requirements,2019-04
PM_40_20_90,Thermal actions performance requirements,PM_35_20_90 Thermal actions performance requirements,2019-04
PM_40_20_94,Ventilation performance requirements,PM_35_70_94 Ventilation performance requirements,2019-04
PM_40_20_96,Wind load performance requirements,PM_35_20_96 Wind loading performance requirements,2019-04
PM_40_30_10,Calculation,FI_40_10 Calculations (CA),2019-04
PM_40_30_18,Construction specification,PM_40_45 Specifications,2023-07
PM_40_30_20,Design calculations,PM_40_25 Design calculations,2023-07
PM_40_30_26,Energy strategy,PM_40_20_26 Energy strategy,2020-04
PM_40_30_58,Outline specification,PM_40_45 Specifications,2023-07
PM_40_30_61,Performance specification,PM_40_45 Specifications,2023-07
PM_40_30_75,Schedule,FI_90_75 Schedule or table (SH),2019-04
PM_40_30_78,Specification,FI_40_80 Specification (SP),2019-04
PM_40_60_09,BIM maturity assessment report,PM_40_60_11 Capability and capacity assessment report,2020-04
PM_40_60_42,Information mobilization plan,PM_40_60_53 Mobilization plan,2021-01
PM_40_60_53,Model production and delivery table,PM_40_60 Project information management information,2019-07
PM_40_60_65,Post-contract BIM execution plan,PM_40_60_08 BIM execution plan,2019-07
PM_50_50_10,Early contractor involvement information,PM_50_50_20 Early contractor involvement information,2019-04
PM_50_50_12,Framework agreement information,PM_50_50_25 Framework agreement information,2019-04
PM_50_50_15,Post-tender negotiation,PM_50_50_85 Post-tender negotiation,2019-04
PM_50_50_20,Private-sector participation (PSP) tender,PM_50_50_40 Private-sector participation (PSP) tender,2019-04
PM_50_50_25,Procurement strategy,PM_50_50_01 Procurement strategy,2019-04
PM_50_50_35,Tender acceptance report,PM_50_50_80 Tender acceptance report,2019-04
PM_50_50_40,Tender assessment report,PM_50_50_80 Tender acceptance report,2019-04
PM_50_50_50,Tender document,PM_50_50_35 Tender documents,2019-04
PM_50_50_55,Tender enquiry,PM_50_50_10 Tender enquiry,2019-04
PM_50_50_60,Tender error resolution strategy,PM_50_50_75 Tender error resolution strategy,2019-04
PM_50_50_65,Tender evaluation report,PM_50_50_70 Tender evaluation report,2019-04
PM_50_50_70,Tender instruction,PM_50_50_50 Tender instruction,2019-04
PM_50_50_75,Tender invitation,PM_50_50_15 Tender invitation,2019-04
PM_50_50_80,Tender notification,PM_50_50_90 Tender notification,2019-04
PM_50_50_85,Tender return,PM_50_50_60 Tender return,2019-04
PM_50_50_90,Tender site visit strategy,PM_50_50_55 Tender site visit strategy,2019-04
PM_60_30_55,Method statement,FI_80_50 Method statement (MS),2019-04
PM_60_30_64,Programme,PM_60_30_20 Contract programme,2019-01
